Unnamed: 0,Title,Platform,Userscore,Comment,Username,Sentiment
9540,Super Mario Odyssey,Switch,9,"I didn't think I liked Mario games anymore.  The last one I played was Mario 64, and while I enjoyed it for a while, I've never gone back to it.But Odyssey is kind of amazing.  It plays like an updated version of Ocarina of Time, yet with Kirby-like power stealing mechanics.  Brilliant decisions, both.  We get a format we're familiar with, intuitive controls, and satisfying abilities.I didn't think I liked Mario games anymore.  The last one I played was Mario 64, and while I enjoyed it for a while, I've never gone back to it.But Odyssey is kind of amazing.  It plays like an updated version of Ocarina of Time, yet with Kirby-like power stealing mechanics.  Brilliant decisions, both.  We get a format we're familiar with, intuitive controls, and satisfying abilities.The only negative thing I can think of is that after ""completing"" the game, you can go back and collect more moons from each stage, and that's not quite as fun as going through the stages for the first time.  Overall, though, it's just incredible.",night4,positive
9541,Super Mario Odyssey,Switch,4,"Super Mario Odyssey isn't exactly the greatest game I've ever played and I play alot of games, the game is kind of boring, most of the moons feel like you're just handed to you and that kills any real satisfaction since people are just most likely going to just explore anyway, which brings me onto my next point, each kingdom isn't as big as people think they are infact they are relativelySuper Mario Odyssey isn't exactly the greatest game I've ever played and I play alot of games, the game is kind of boring, most of the moons feel like you're just handed to you and that kills any real satisfaction since people are just most likely going to just explore anyway, which brings me onto my next point, each kingdom isn't as big as people think they are infact they are relatively small compared and the soundtrack is rather forgettable aswell...I would go on but I know people will dismiss this as ""hate"" when it clearly is pointing out the flaws in Odyssey.",Kaitos,negative
9542,Super Mario Odyssey,Switch,9,The best game of 2017 I've played so far and for sure one of the best Switch title. Perfect level design and really nice graphic. A lot of fun for both child and a bit older gamer.,mosiu666,positive
9543,Super Mario Odyssey,Switch,5,"            This review contains spoilers, click expand to view.        SPOILERS AHEADSo the gameplay was fun and all but what really pissed me off was the story:You play this little man trying to save a princess from this bowser chad who wants to ""force""-marry her to him (isn't this a bit **** up by itself?) and after you went through all those worlds to find out that bowser stole something special from each world for the wedding, you arrive at the moon to crash the wedding bowser spent so much time setting up (I still don't understand how the princess kept wanting to be rescued after all the nice things bowser got for her) After the player beats bowser, the pricess doesn't even thank mario or anything and just leaves him hanging while bowser gets rejected as well after they both try to ""win"" her by offering flowers. The ending ruined the whole buildup in my opinion.",Laurenz,negative
9544,Super Mario Odyssey,Switch,10,Just a great game overall. Everyone should give it a try. Its sad that such a great game gets some 0 user scores with absurd complaints and if you check their other reviews you see HZD 10/10 P5 10/10. Some people really need to stop being fanboys and just enjoy gaming.,RandomGuy102,negative
9545,Super Mario Odyssey,Switch,9,"This game was awesome I feel that all the levels where fun and I think that all them had a good amount of moons even though there is a ton of them you only need about 120ish to get to bowser. But if you only go for the ending then you are missing out on an amazing package of charm and fun and it does make this game a bit of a ""its not the destination its the journey"" type games this wouldThis game was awesome I feel that all the levels where fun and I think that all them had a good amount of moons even though there is a ton of them you only need about 120ish to get to bowser. But if you only go for the ending then you are missing out on an amazing package of charm and fun and it does make this game a bit of a ""its not the destination its the journey"" type games this would be a bigger problem if the journey wasn't so much fun there are so many new races or species or whatever. The controls where perfect and I felt at no time that when I died it was the game's fault when I died I felt like I made a mistake. Speaking of controls I found the motion controls pretty fun as well but this is probaly because I used the sperated JoyCons and not the ProControler so if you want to use a ProControler then you probally wont enjoy them as much the ideal way to play is with the JoyCons. There is something that gives the games controls the extra step to being perfection is Cappy. In this game your new sidekick is the hat ghost thing Cappy. With a press of the Y button or a flick of the JoyCon you can toss out your Felt Friend and grab coins and kill small baddies. The reason he only kills small foes is because when thrown at a normal sized enemies is that when Cappy is thrown at them he will ""Capture"" them, but its more like possesion because you go inside there bodies and take control of there brains. This adds a fun new twist onto gameplay and makes some fun boss battles based around these Captures. Another thing you can do with Cappy is when he is thrown you can dive onto him whi",Maxcarus,positive
9546,Super Mario Odyssey,Switch,9,"It may be the first Mario game since Super Mario Bros that felt fresh for me. The mechanics are beautiful. Most levels look gorgeous on TV (so it has never felt that my Switch had run out of juice). Also this game is full of surprises and takes bold choices to entertain player. Like riding a tyrannosaur just because it's cool. Also the mix of Mario visuals and more realistic design workedIt may be the first Mario game since Super Mario Bros that felt fresh for me. The mechanics are beautiful. Most levels look gorgeous on TV (so it has never felt that my Switch had run out of juice). Also this game is full of surprises and takes bold choices to entertain player. Like riding a tyrannosaur just because it's cool. Also the mix of Mario visuals and more realistic design worked well in most levels (like New Donk City, oh, that jazz song there).Not a ten due to:-Sometimes boring bosses-And most importantly some levels and designs felt out of place (like the cooking one or caterpillar design)-And finally with new mechanic for each monster the game spread too thin in some places.",memus,positive
9547,Super Mario Odyssey,Switch,10,"Super Mario Odyssey is undoubtedly a very easy game. However, it is only easy because it is free from the control and camera limitations of Super Mario 64 (as well as having no life limits, but that just takes away farming lives). The game isn't entirely without challenge, either... you just have to find the challenges. It introduces many new ideas and does a lot of things differently fromSuper Mario Odyssey is undoubtedly a very easy game. However, it is only easy because it is free from the control and camera limitations of Super Mario 64 (as well as having no life limits, but that just takes away farming lives). The game isn't entirely without challenge, either... you just have to find the challenges. It introduces many new ideas and does a lot of things differently from Mario Sunshine and Mario 64. All that said, it is very fun to play and is as much a contender for ""Best Game of All Time"" as Mario 64 is.",Donut64,positive
9548,Super Mario Odyssey,Switch,7,"I really like the game but it has one BIG flaw, like many others have mentioned. The game is waaay too easy. Dying with the only penalty of losing 10 coins, I mean for real? The bosses are lauglably easy as well and I havent lost even once against the first few. It's as if the difficulty was aimed toward 6 year olds. Also you only need a very small amount of power moons to progress to theI really like the game but it has one BIG flaw, like many others have mentioned. The game is waaay too easy. Dying with the only penalty of losing 10 coins, I mean for real? The bosses are lauglably easy as well and I havent lost even once against the first few. It's as if the difficulty was aimed toward 6 year olds. Also you only need a very small amount of power moons to progress to the next world which makes exploring pointless unless your're a completionist. Would be nice if you were FORCED to gather larger amounts to make it a bit harder.",DreamCore,negative
9549,Super Mario Odyssey,Switch,9,"Cada 5 minutos el juego cambia completamente, sobre la misma base el juego nunca para de lanzarte cosas nuevas a la cara. La historia principal solo lleva unas 15h, pero el meollo empieza después con más de 800 lunas que coleccionar. Es toda una lección de diseño de niveles que dará que hablar por muchos años. El único fallo que puedo verle al juego, y creo es lo que lo separa de obras deCada 5 minutos el juego cambia completamente, sobre la misma base el juego nunca para de lanzarte cosas nuevas a la cara. La historia principal solo lleva unas 15h, pero el meollo empieza después con más de 800 lunas que coleccionar. Es toda una lección de diseño de niveles que dará que hablar por muchos años. El único fallo que puedo verle al juego, y creo es lo que lo separa de obras de arte como Super MArio 64 o Odissey, es que no es reolucionario, no inventa nada nuevo. Evoluciona y poerfecciona, pero no inventa.",elandroid,neutral
